x,y,z
3.86393024884682,4.46935169234969,0.01
3.92089549594169,4.31983593858635,0.01
3.97786074303656,4.17032018482301,0.01
4.03482599013142,4.02080443105966,0.01
4.09179123722629,3.87128867729632,0.01
4.14875648432116,3.72177292353298,0.01
4.20572173141603,3.57225716976964,0.01
4.2626869785109,3.42274141600629,0.01
4.31965222560576,3.27322566224295,0.01
4.37661747270063,3.12370990847961,0.01
4.4335827197955,2.97419415471626,0.01
4.49054796689037,2.82467840095292,0.01
4.54751321398524,2.67516264718958,0.01
2.98,7.77244449061655,0.01
4.90313887283737,2.72481329742598,0.01
2.9947257712119,7.73379399939992,0.01
3.05169101830677,7.58427824563658,0.01
3.10865626540163,7.43476249187323,0.01
3.1656215124965,7.28524673810989,0.01
3.22258675959137,7.13573098434655,0.01
3.27955200668624,6.9862152305832,0.01
3.33651725378111,6.83669947681986,0.01
3.39348250087597,6.68718372305652,0.01
3.45044774797084,6.53766796929318,0.01
3.50741299506571,6.38815221552983,0.01
3.56437824216058,6.23863646176649,0.01
3.62134348925545,6.08912070800315,0.01
3.67830873635032,5.9396049542398,0.01
3.73527398344518,5.79008920047646,0.01
3.79223923054005,5.64057344671312,0.01
3.84920447763492,5.49105769294977,0.01
3.90616972472979,5.34154193918643,0.01
3.96313497182466,5.19202618542309,0.01
4.02010021891953,5.04251043165975,0.01
4.07706546601439,4.8929946778964,0.01
4.13403071310926,4.74347892413306,0.01
4.19099596020413,4.59396317036972,0.01
4.247961207299,4.44444741660637,0.01
4.30492645439387,4.29493166284303,0.01
4.36189170148874,4.14541590907969,0.01
4.4188569485836,3.99590015531635,0.01
4.47582219567847,3.846384401553,0.01
4.53278744277334,3.69686864778966,0.01
4.58975268986821,3.54735289402632,0.01
4.64671793696308,3.39783714026297,0.01
4.70368318405794,3.24832138649963,0.01
4.76064843115281,3.09880563273629,0.01
4.81761367824768,2.94928987897294,0.01
4.87457892534255,2.7997741252096,0.01
2.98,8.7555,0.01
5.21024390873079,2.90181523436282,0.01
3.03696524709487,8.60598424623666,0.01
3.09393049418974,8.45646849247332,0.01
3.15089574128461,8.30695273870997,0.01
3.20786098837947,8.15743698494663,0.01
3.26482623547434,8.00792123118329,0.01
3.32179148256921,7.85840547741994,0.01
3.37875672966408,7.7088897236566,0.01
3.43572197675895,7.55937396989326,0.01
3.49268722385382,7.40985821612991,0.01
3.54965247094868,7.26034246236657,0.01
3.60661771804355,7.11082670860323,0.01
3.66358296513842,6.96131095483989,0.01
3.72054821223329,6.81179520107654,0.01
3.77751345932816,6.6622794473132,0.01
3.83447870642302,6.51276369354986,0.01
3.89144395351789,6.36324793978651,0.01
3.94840920061276,6.21373218602317,0.01
4.00537444770763,6.06421643225983,0.01
4.0623396948025,5.91470067849649,0.01
4.11930494189737,5.76518492473314,0.01
4.17627018899223,5.6156691709698,0.01
4.2332354360871,5.46615341720646,0.01
4.29020068318197,5.31663766344311,0.01
4.34716593027684,5.16712190967977,0.01
4.40413117737171,5.01760615591643,0.01
4.46109642446658,4.86809040215308,0.01
4.51806167156144,4.71857464838974,0.01
4.57502691865631,4.5690588946264,0.01
4.63199216575118,4.41954314086306,0.01
4.68895741284605,4.27002738709971,0.01
4.74592265994092,4.12051163333637,0.01
4.80288790703579,3.97099587957303,0.01
4.85985315413065,3.82148012580968,0.01
4.91681840122552,3.67196437204634,0.01
4.97378364832039,3.522448618283,0.01
5.03074889541526,3.37293286451966,0.01
5.08771414251013,3.22341711075631,0.01
5.14467938960499,3.07390135699297,0.01
5.20164463669986,2.92438560322963,0.01
3.30706571135731,8.88011147802003,0.01
5.51734894462421,3.07881717129966,0.01
3.36403095845218,8.73059572425668,0.01
3.42099620554705,8.58107997049334,0.01
3.47796145264192,8.43156421673,0.01
3.53492669973679,8.28204846296665,0.01
3.59189194683165,8.13253270920331,0.01
3.64885719392652,7.98301695543997,0.01
3.70582244102139,7.83350120167662,0.01
3.76278768811626,7.68398544791328,0.01
3.81975293521113,7.53446969414994,0.01
3.876718182306,7.3849539403866,0.01
3.93368342940086,7.23543818662325,0.01
3.99064867649573,7.08592243285991,0.01
4.0476139235906,6.93640667909657,0.01
4.10457917068547,6.78689092533322,0.01
4.16154441778034,6.63737517156988,0.01
4.2185096648752,6.48785941780654,0.01
4.27547491197007,6.3383436640432,0.01
4.33244015906494,6.18882791027985,0.01
4.38940540615981,6.03931215651651,0.01
4.44637065325468,5.88979640275317,0.01
4.50333590034955,5.74028064898982,0.01
4.56030114744441,5.59076489522648,0.01
4.61726639453928,5.44124914146314,0.01
4.67423164163415,5.29173338769979,0.01
4.73119688872902,5.14221763393645,0.01
4.78816213582389,4.99270188017311,0.01
4.84512738291876,4.84318612640977,0.01
4.90209263001362,4.69367037264642,0.01
4.95905787710849,4.54415461888308,0.01
5.01602312420336,4.39463886511974,0.01
5.07298837129823,4.24512311135639,0.01
5.1299536183931,4.09560735759305,0.01
